Roaster,CoffeeName,Region,Country,Process,Variety,Altitude,TastingNotes
Nomad Coffee,Kaj Witz,Huehuetenango,Guatemala,Washed,Caturra & Bourbon,1750masl,"Lime, Peach, Sugar Cane"
Nomad Coffee,Indígenas del Tolima,Tolima,Colombia,Washed,Castillo,1750masl,"Sugar Cane, Grapefruit, Peach"
Nomad Coffee,La Esmerelda,Huehuetenango,Guatemala,Washed,"Paches, Bourbon, & Sarchimor",1550masl,"Blueberry, Nectarine, Milk Chocolate"
Nomad Coffee,Competition: Lime,Cauca,Colombia,Lime Process,Castillo,1700masl,"Lemon Cake, Lemongrass, Lime"
Flight Coffee,Kilimbi,Nyamasheke,Rwanda,Honey,Red Honey,1600-1650masl,"Raisin, Red Apple, Milk Chocolate"
Flight Coffee,Parami,Ermera,Timor-Leste,Natural,"Hibrido de Timor, Moka, Typica",1700-1800masl,"Raspberry, Red Currant, Lychee"
Flight Coffee,Avelino Mesa,Santuario,Colombia,Washed,Castillo,1700masl,"Red Apple, Plum, Rockmelon"
Flight Coffee,Shyira,Nyabihu,Rwanda,Washed,Red Bourbon,2000masl,"Brown Sugar, Black Currant, Grapefruit"
Black & White,Genji Challa Lot 11,Agaro,Ethiopia,Washed,Heirloom,2000masl,"Lime, Tropical Fruits, White Peach, Cola"
Black & White,Don Carlos,Tarrazú,Costa Rica,Natural,Caturra & Catuai,1800masl,"Black Grape, Yellow Peach, Syrupy"
Black & White,Gicherori AA,Embu County,Kenya,Washed,"SL28, Ruiru 11 & Batian",1650masl,"Floral, Grapefruit, Cranberry, Raw Sugar"
Black & White,Nirvana Gesha,Volcan-Boquete,Panama,Natural Nitrogen Anaerobic,Gesha,2000masl,"Tropical Fruits, Lychee, Candy, Orange Wine"
Casino Mocca,San Isidro,Heredia,Costa Rica,Natural,Caturra & Catuai,1750masl,"Cranberry, Strawberry, White Grape"
Casino Mocca,Hambela,Guji,Ethiopia,Natural,Heirloom,2000masl,"Passion Fruit, Strawberry, Orange Blossom"
Casino Mocca,La Pila,Fraijanes,Guatemala,Honey,"Bourbon, Pache & Catuai",1750masl,"Persimmon, Tangerine, Cashew"
Casino Mocca,Bányai,Naranjo,Costa Rica,Washed,Catuai,1500-1600masl,"Cranberry, Fig, Caramel"
Calendar Coffee,Wilfredo Sanchez,Opalaca,Honduras,Washed,Caturra,1500masl,"Plum, Black Tea, Brown Sugar"
Calendar Coffee,Uraga Raro,Guji,Ethiopia,Washed,Heirloom,2000-2400masl,"Lychee, Guava, Tropical Fruits"
Calendar Coffee,Caballero,Marcala,Honduras,Washed,Catuai,1600masl,"Fresh Herbs, Toffee Apple, Rich Sweetness"
Calendar Coffee,Familia Diaz,Chalatenango,El Salvador,Honey,Pacamara,1700masl,"Mandarine, Wild Honey, Chamomile"
Father Coffee,Kyonza Kingha Collective,Kanungu,Uganda,Washed,"SL-28, SL-34, SL-14",1500-1800masl,"Lime, Apricot, Black Tea"
Father Coffee,Bookkisa Natural,Guji,Ethiopia,Natural,"Gibirinna, Serto",2000-2100masl,"Kiwi, Blueberry, Dried Lemon"
Father Coffee,Mbirizi Gatara Shade #1,Kayanza,Burundi,Washed,Red Bourbon,1900masl,"Orange, Peach, Floral Tea"
Father Coffee,Diego Samuel Bermudez,Cauca,Colombia,Hyperproccessed,Gesha,1930masl,"Peaches, Champagne, Impossibly Aromatic"
Coffee Collective,Kieni,Nyeri,Kenya,Washed,"SL28, SL34, Ruiru 11, Batian",1818masl,"Blueberry, Rhubarb, Blackcurrant"
Coffee Collective,Kirite,Guji,Ethiopia,Washed,Heirloom,2100-2400masl,"Floral, Bergamot, Peach"
Coffee Collective,Julkaffe Nolberto,Tolima,Colombia,Washed,"Caturra, Gesha, Tabi",1650-1850masl,"Orange Blossom, Mandarine, Toffee"
Coffee Collective,Akmel Nuri,Jimma,Ethiopia,Anaerobic Natural,"74-110, 74-165, 74-40, 74-142",1800-2200masl,"Chocolate, Strawberry, Sweet Papaya"
ACoffee,Wolichu Wachu,Guji,Ethiopia,Natural,Heirloom,masl,"Dried Pineapple, Mixed Berries, Sugarcane"
ACoffee,Chelchele,Kochere,Ethiopia,Washed,Heirloom,masl,"Apricot, Blueberry, Black Tea"
ACoffee,Gicherori,Embu County,Kenya,Washed,"Ruiru 11, Batian, & SL-28",masl,"Orange Blossom, Mandarine, Toffee"
ACoffee,Jannier Rodriguez,Tolima,Colombia,Washed,Typica & Caturra,masl,"Chocolate, Strawberry, Sweet Papaya"
MAME Coffee,Rwegetha,Kiambu,Kenya,Washed,"SL28, SL34, & Batian",1950masl,"Pomelo, Lemonade, Mint"
MAME Coffee,El Paraiso Pink,Cauca,Colombia,Double Fermentation,Castillo,1600masl,"Rose Water, Peach, Ceylon Tea"
MAME Coffee,El Diamante,Terrazu,Costa Rica,Natural,Caturra & Red Catuai,1500masl,"Apple, Raisin, Cinnamon"
MAME Coffee,Semeon Abay Adola,Guji,Ethiopia,Funky 72 Hour Natural Anaerobic,Heirloom,2000masl,"Dark Cherry, Banana, Cacao Nib"
